source,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Seedly,20/10/19 10:00,Or you could start investing RIGHT NOW... #justsaying Find out how to start with as little as $50 a month: http://bit.ly/2BrESf3,3,3,0,0,0,0,0,0,1214710018717030,/story.php?story_fbid=1214710018717030&id=460639650790741
Seedly,19/10/19 14:00,LATEST UPDATE: Cheapest Electricity Retailer,14,14,0,0,0,0,0,1,1215078995346799,/story.php?story_fbid=1215078995346799&id=460639650790741
Seedly,18/10/19 12:59,Dividend cut at Singapore Press Holdings Limited (SGX: T39).,0,0,0,0,0,0,0,2,1214801658707866,/story.php?story_fbid=1214801658707866&id=460639650790741
Seedly,19/10/19 13:48,Here are 8 things you should know about Singtel's AGM.,9,7,1,0,1,0,0,1,1215795055275193,/story.php?story_fbid=1215795055275193&id=460639650790741
Seedly,19/10/19 9:54,"Here's how to stretch your dollar on your mala xiang guo order, in pictures! Ã°ÂÂÂ¥",21,16,4,0,1,0,0,6,1215640861957279,/story.php?story_fbid=1215640861957279&id=460639650790741
Seedly,18/10/19 18:00,LOVE BUBBLE TEA? Grab just launch Singapore's first bubble tea subscription plan to feed your bubble tea cravings.,7,5,2,0,0,0,0,1,1214976628690369,/story.php?story_fbid=1214976628690369&id=460639650790741
Seedly,18/10/19 16:23,Only apply for a BTO if you're 100% sure. Ã°ÂÂÂ,27,17,5,0,3,2,0,2,1214917992029566,/story.php?story_fbid=1214917992029566&id=460639650790741
Seedly,17/10/19 20:00,"We've uncovered the best wedding cake/dessert table bakeries in Singapore, so you don't have to do the work!",0,0,0,0,0,0,0,1,1214136315441067,/story.php?story_fbid=1214136315441067&id=460639650790741
Seedly,17/10/19 19:02,This question may have bugged many of you... But did you know that the answer is actually pretty logical? #rice #asian,0,0,0,0,0,0,0,1,1214095495445149,/story.php?story_fbid=1214095495445149&id=460639650790741
Seedly,18/10/19 11:59,The Seedly blog has a new look and a new name: SeedlyReads! Ã°ÂÂ¥Â³,5,1,3,1,0,0,0,1,1214763548711677,/story.php?story_fbid=1214763548711677&id=460639650790741
Seedly,18/10/19 10:04,"Thinking of getting a smartwatch but gotta stick to a budget?  Here are the best smartwatches in the market currently, other an Apple Watch and Samsung Galaxy Watch.",4,4,0,0,0,0,0,1,1214693635385335,/story.php?story_fbid=1214693635385335&id=460639650790741
