source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Seedly,,2019-09-05 18:36:10,Do you ever worry about not reaching your CPF Full Retirement Sum when you're 55 years old? 🙋‍♀️🙋‍♀️ Here's a bit of good news for you! It's actually not that difficult!,60,55,1,1,1,2,,13,1181068958747803,/story.php?story_fbid=1181068958747803&id=460639650790741
Seedly,,2019-09-05 12:37:00,"For those interested in SATS, here are the key takeaways from this year's AGM with The Fifth Person!",2,2,,,,,,1,1180903475431018,/story.php?story_fbid=1180903475431018&id=460639650790741
Seedly,,2019-09-04 18:00:01,"Love your pet and want to protect it? Here's a list of pet insurance you can get, according to your needs!",8,7,,1,,,,1,1180312122156820,/story.php?story_fbid=1180312122156820&id=460639650790741
Seedly,,2019-09-04 14:56:34,Is going to the dentist really as expensive as it seems?  Also: Find out what dental treatments are covered by MediSave!,13,13,,,,,,2,1180241152163917,/story.php?story_fbid=1180241152163917&id=460639650790741
Seedly,,2019-09-04 11:58:35,"It's almost lunchtime! Since it's rainy out, why not order some food delivery in? 🤩",24,23,1,,,,,1,1180173098837389,/story.php?story_fbid=1180173098837389&id=460639650790741
Seedly,,2019-09-03 21:00:00,<INSURANCE TUESDAY> Should you get an investment-linked plan if you are already looking to invest?,7,7,,,,,,1,1178984702289562,/story.php?story_fbid=1178984702289562&id=460639650790741
Seedly,,2019-09-03 18:38:18,Do you know who your money will go to if you pass on without a will?,107,105,,2,,,,10,1179658398888859,/story.php?story_fbid=1179658398888859&id=460639650790741
Seedly,,2019-09-03 15:15:02,"Did you know, even as a self-employed or freelancer, you will need to do a contribution with CPF MediSave? Here's a breakdown of what you need to know, and how to contribute $ to your CPF!",25,24,,1,,,,1,1179574465563919,/story.php?story_fbid=1179574465563919&id=460639650790741
Seedly,,2019-09-03 12:07:21,"Are you a fan of chilli crab? 🦀 And if you're investor, have you ever wonder how Jumbo Group makes money? 🤔",9,9,,,,,,1,1179501365571229,/story.php?story_fbid=1179501365571229&id=460639650790741
Seedly,,2019-09-03 08:00:01,Check out the interest rate for this month's Singapore Savings Bond (SSB).  Can meh?,11,11,,,,,,1,1179132482274784,/story.php?story_fbid=1179132482274784&id=460639650790741
Seedly,,2019-09-02 18:04:31,"With PSLE coming in a few weeks, we're sure there are lots of parents sending their kids for extra tuition classes. How much does an average kiasu Singaporean spend on tuition and enrichment classes in their lifetime? We decided to find out.",17,15,,,2,,,1,1178965592291473,/story.php?story_fbid=1178965592291473&id=460639650790741
Seedly,,2019-09-02 17:16:37,"🚨 Scam Alert 🚨: If you have elderly parents or grandparents who frequent the markets in the heartlands, please alert them to this scam! 😔",8,6,,,,,2,2,1178940918960607,/story.php?story_fbid=1178940918960607&id=460639650790741
Seedly,,2019-09-02 16:00:01,"<We're unveiling an Exclusive radio show segment with MONEY FM 89.3> It will be a FIVE-part radio segment every Wednesday: - 4 Sept 2019, Wed 10am: What you need to know about choosing your energy provider to save monthly (feat. Yeap Ming Feng, Content Head at Seedly) - 11 Sept 2019, Wed 10am: Hacks to maximise your CPF (feat. Hariz Artur Maloy, Top Contributor at Seedly and FA) - 18 Sept 2019, Wed 10am: Personal finance 101 for Millennial young working adults (feat. Chew Tee Ming, Co-Founder, Product at Seedly) - 25 Sept 2019, Wed 10am: How to know when you should start investing and how to start with your first $5,000? (feat. Junus Eu, Top Contributor at Seedly and Entrepreneur) - 2 Oct 2019, Wed 10am: Planning your retirement blueprint at 30,40,50 (feat. TBC) It will be conducted by Radio show-host and DJ, Michelle Martin, an 18-year veteran of the media industry. https://seedly.sg/questions/topic/money-fm-893-show",7,6,,,1,,,1,1178893818965317,/story.php?story_fbid=1178893818965317&id=460639650790741
Seedly,,2019-09-02 09:23:19,Good Monday morning! 'Retrenchment' is something that is very real in Singapore and perhaps you may also know someone who may also need some advice on getting past this tough period! :),45,29,1,,9,6,,8,1178738055647560,/story.php?story_fbid=1178738055647560&id=460639650790741
Seedly,,2019-09-01 12:00:00,"Who has the CHEAPEST petrol prices, and the best promotions?⛽️ SPC seems to be in the lead in terms of lowest fuel prices!",23,22,,1,,,,8,1178089402379092,/story.php?story_fbid=1178089402379092&id=460639650790741
Seedly,,2019-08-31 12:24:13,"Your money is worth less, every year you leave it in the bank. Here's how you can protect your money from inflation through investing!",26,24,,2,,,,1,1177421262445906,/story.php?story_fbid=1177421262445906&id=460639650790741
Seedly,,2019-08-30 15:00:01,"""Time Value Of Money"" is NOT just a fancy finance concept, find out how it affects your retirement as well as your personal goals. 🕒",17,16,,,1,,,2,1176791739175525,/story.php?story_fbid=1176791739175525&id=460639650790741
Seedly,,2019-08-30 12:00:01,Worried about not hitting your Full or Enhanced Retirement Sum?  We've summarised the pros & cons of topping up your CPF voluntarily!,8,8,,,,,,2,1176725515848814,/story.php?story_fbid=1176725515848814&id=460639650790741
Seedly,,2019-08-30 08:30:00,Need help getting your finances in order? 😵 Why not use our Seedly Money Framework: http://bit.ly/2ZxkIhG,6,3,3,,,,,1,1176235522564480,/story.php?story_fbid=1176235522564480&id=460639650790741
Seedly,,2019-08-29 18:21:21,"Here's something fun as we approach the end of the week! Especially for those who are currently on exchange/ working in Europe, here are some budget hacks for you to save some cash while travelling!",42,35,,2,4,1,,5,1176206615900704,/story.php?story_fbid=1176206615900704&id=460639650790741
Seedly,,2019-08-29 15:58:23,Ever considered adding Mapletree Commercial Trust to your portfolio? Here're some insights into their most recent AGM!🤩,2,2,,,,,,1,1176136655907700,/story.php?story_fbid=1176136655907700&id=460639650790741
Seedly,,2019-08-29 13:12:14,Your HDB flat is an investment. True or False? 🧐,39,35,,,2,2,,5,1176072605914105,/story.php?story_fbid=1176072605914105&id=460639650790741
