,post_id,username,username_count,level,rank
2939,1129,As Df,1,3,Wonderkid 
2940,1129,Vincent Tan Wen Bin,1,5,Genius 
2941,1129,BLBrian Lee,1,3,Wonderkid 
2942,1130,Elijah Lee,1,9,God of Wisdom 
2943,1131,Elijah Lee,1,9,God of Wisdom 
2944,1131,Glenn Toh,1,4,Prodigy 
2945,1131,Aik Kai,1,6,Master 
2946,1132,Cedric Jamie Soh,1,7,Grand Master 
2947,1133,Elijah Lee,1,9,God of Wisdom
2948,1134,Leslie Koh,1,4,Prodigy
2949,1136,Joseph Goh,1,2,Rookie
2950,1138,Jessica Chuah,1,3,Wonderkid 
2951,1138,Glenn Toh,1,4,Prodigy 
2952,1138,Pat,1,4,Prodigy 
2953,1138,Siow Nan,1,6,Master 
2954,1138,Gabriel Tham,1,8,Wizard 
2955,1139,Ang Yee Gary,1,4,Prodigy 
2956,1140,Glenn Toh,1,4,Prodigy 
2957,1141,Aik Kai,1,6,Master 
2958,1142,CYClare Yeo,1,2,Rookie 
2959,1142,Jonathan Chia Guangrong,1,6,Master 
2960,1142,EEvelyn,1,3,Wonderkid 
2961,1142,Aik Kai,1,6,Master 
2962,1143,Aik Kai,1,6,Master 
2963,1144,Aik Kai,1,6,Master 
2964,1145,Leslie Koh,1,4,Prodigy
2965,1146,Willy Chua,1,3,Wonderkid 
2966,1146,Tee-Ming Chew,1,6,Master 
2967,1146,CL Tan,1,2,Rookie 
2968,1146,Damian Yeo,1,2,Rookie 
2969,1146,Clarence Chua,1,7,Grand Master 
2970,1146,Fiona Finny Lee,1,2,Rookie 
2971,1146,Cherie Julianne Tan,1,6,Master 
2972,1146,JAJoseph Ang,1,2,Rookie 
2973,1146,Tham Wai Yip,1,2,Rookie 
2974,1146,Daniele Sambenedetto,1,2,Rookie 
2975,1146,Xuan Le Goh,1,2,Rookie 
2976,1146,KKenny,1,2,Rookie 
2977,1146,Joye Sun,1,2,Rookie 
2978,1146,Philip Wan,1,2,Rookie 
2979,1146,Vernetta Tan Jia Xuan,1,2,Rookie 
2980,1146,Yong Ann Lya,1,2,Rookie 
2981,1146,Chor Yokemeng,1,2,Rookie 
2982,1146,Denny Tan,1,2,Rookie 
2983,1146,Wan Ting Ling,1,2,Rookie 
2984,1146,Lionel Tee,1,2,Rookie 
2985,1147,JJeremy,1,5,Genius 
2986,1147,Jianhao,1,2,Rookie
2987,1147,Lukman Rahim,1,1,Freshie
2988,1147,NANathaniel Ang,1,1,Freshie
2989,1147,Michael Andrew Mesina,1,1,Freshie
2990,1147,Marrior,1,3,Wonderkid
2991,1147,Walter,1,2,Rookie 
2992,1147,Chin Guo Qiang,1,3,Wonderkid 
2993,1148,Kenneth Lou,1,8,Wizard 
2994,1148,Sean Sim,1,2,Rookie 
2995,1149,Cedric Jamie Soh,1,7,Grand Master
2996,1150,EKEileen Khoo,1,2,Rookie 
2997,1150,Gabriel Tham,1,8,Wizard 
2998,1151,Loh Tat Tian,1,6,Master 
2999,1151,JWjiajing wang,1,3,Wonderkid 
3000,1151,Kenneth Lou,1,8,Wizard 
3001,1152,Dith Woo,1,3,Wonderkid 
3002,1152,Gabriel Tham,1,8,Wizard 
3003,1153,Yinghua Liu,1,4,Prodigy 
3004,1154,Yinghua Liu,1,4,Prodigy 
3005,1154,Vinc Tay,1,3,Wonderkid 
3006,1156,Gabriel Tham,1,8,Wizard 
3007,1156,Kenneth Lou,1,8,Wizard 
3008,1157,Hariz Arthur Maloy,1,9,God of Wisdom 
3009,1159,Joel Tan,1,1,Freshie 
3010,1159,Milly Fbk,1,3,Wonderkid 
3011,1160,Justin Kieran Ong,1,3,Wonderkid 
3012,1161,HC Tang,1,8,Wizard 
3013,1162,Hariz Arthur Maloy,1,9,God of Wisdom 
3014,1164,Cedric Jamie Soh,1,7,Grand Master 
3015,1165,Dexter Tiah,1,3,Wonderkid 
3016,1165,HC Tang,1,8,Wizard 
3017,1165,Pat,1,4,Prodigy 
3018,1166,Loh Tat Tian,1,6,Master
3019,1167,Jonathan Ng,1,5,Genius 
3020,1167,Loh Tat Tian,1,6,Master 
3021,1168,Jaren Ng Kok Liang,1,2,Rookie 
3022,1168,Adrian Goh Jun Wei,1,4,Prodigy 
3023,1169,Desmond Loh,1,2,Rookie 
3024,1169,Aik Kai,1,6,Master 
3025,1169,MWMichelle Woo,1,1,Freshie 
3026,1170,Dexter Tiah,1,3,Wonderkid 
3027,1171,Cedric Jamie Soh,1,7,Grand Master
3028,1171,Peter DingDang,1,2,Rookie
3029,1172,Lok Yang Teng,1,6,Master 
3030,1173,Aik Kai,1,6,Master 
3031,1173,Pascal Samsoon,1,3,Wonderkid 
3032,1173,Charmaine Ng,1,6,Master 
3033,1173,Gabriel Tham,1,8,Wizard 
3034,1173,Gabriel Lee,1,6,Master 
3035,1173,Yong Kah Hwee,1,6,Master 
3036,1173,Good Day Every Day,1,6,Master 
3037,1173,HC Tang,1,8,Wizard 
3038,1174,Abdur Rehman,1,2,Rookie
3039,1174,Fa Chen,1,2,Rookie 
3040,1174,Ablah Kethu,1,2,Rookie 
3041,1174,Png Cheng Xi Damien,1,4,Prodigy 
3042,1175,Elijah Lee,1,9,God of Wisdom 
3043,1175,Cedric Jamie Soh,1,7,Grand Master 
3044,1176,Aik Kai,1,6,Master 
3045,1177,Junus Eu,1,8,Wizard 
3046,1177,BLBrian Lee,1,3,Wonderkid 
3047,1178,Cedric Jamie Soh,1,7,Grand Master
3048,1179,Eric Ong Cfa,1,5,Genius
3049,1179,Charlot Ng,1,2,Rookie
3050,1180,Jeff Yeo,1,6,Master 
3051,1180,HC Tang,1,8,Wizard 
3052,1181,Javier Lim,1,5,Genius 
3053,1181,Clarence Chua,1,7,Grand Master 
3054,1182,Nicholes Wong,1,6,Master 
