comment	commenter	date	num_comment	num_likes	url	username
Verified	seedlysg	2019-01-17T09:16:44.000Z	4	71	http://instagram.com/p/BsuvYy-BR_N/	seedlysg
LOOOOLLL	yixuansworld2.0	2019-01-17T09:16:44.000Z	4	71	http://instagram.com/p/BsuvYy-BR_N/	seedlysg
😭	askchrishow	2019-01-17T09:16:44.000Z	4	71	http://instagram.com/p/BsuvYy-BR_N/	seedlysg
Saving and investing is the way to compound true wealth 😊😊	jangtheinvestor	2019-01-17T09:16:44.000Z	4	71	http://instagram.com/p/BsuvYy-BR_N/	seedlysg
Verified	seedlysg	2018-12-31T06:57:49.000Z	1	19	http://instagram.com/p/BsCt-iyBUUZ/	seedlysg
Happy New Year to you @seedlysg!	imransinwan	2018-12-31T06:57:49.000Z	1	19	http://instagram.com/p/BsCt-iyBUUZ/	seedlysg
Verified	seedlysg	2018-12-25T03:07:33.000Z	1	68	http://instagram.com/p/Bry22uah-as/	seedlysg
Verified	seedlysg	2018-12-25T03:07:33.000Z	1	68	http://instagram.com/p/Bry22uah-as/	seedlysg
Verified	seedlysg	2018-12-13T10:54:15.000Z	0	42	http://instagram.com/p/BrUyufoBpKi/	seedlysg
Verified	seedlysg	2018-12-07T07:39:30.000Z	0	48	http://instagram.com/p/BrE_q18BUCw/	seedlysg
Verified	seedlysg	2018-12-07T01:46:10.000Z	1	74	http://instagram.com/p/BrEXO5UBzrl/	seedlysg
Verified	seedlysg	2018-12-07T01:46:10.000Z	1	74	http://instagram.com/p/BrEXO5UBzrl/	seedlysg
Verified	seedlysg	2018-12-03T03:11:58.000Z	0	54	http://instagram.com/p/Bq6N301Bwl5/	seedlysg
Verified	seedlysg	2018-11-20T09:31:11.000Z	3	83	http://instagram.com/p/BqZa73zB90D/	seedlysg
Shall we? @shniec	oowaikikioo	2018-11-20T09:31:11.000Z	3	83	http://instagram.com/p/BqZa73zB90D/	seedlysg
Shall we? @shniec	oowaikikioo	2018-11-20T09:31:11.000Z	3	83	http://instagram.com/p/BqZa73zB90D/	seedlysg
Shall we? @shniec	oowaikikioo	2018-11-20T09:31:11.000Z	3	83	http://instagram.com/p/BqZa73zB90D/	seedlysg
Verified	seedlysg	2018-11-09T10:00:28.000Z	2	91	http://instagram.com/p/Bp9JixWBvKs/	seedlysg
Personally, I prefer Income Sources - Savings - Income Generating Assets = Balance for Expenses. That way, savings and investment funds becomes a priority instead of something that only comes after.	muhdyayat	2018-11-09T10:00:28.000Z	2	91	http://instagram.com/p/Bp9JixWBvKs/	seedlysg
I would personally have preferred an alternative route of setting aside the amount for saving/investment purposes before expenses haha! But great graphics you’ve there anyway!	nwxadvisorysg	2018-11-09T10:00:28.000Z	2	91	http://instagram.com/p/Bp9JixWBvKs/	seedlysg
Verified	seedlysg	2018-10-31T04:31:05.000Z	1	86	http://instagram.com/p/BplYsd-HRWM/	seedlysg
And don't need music at stations please?	stephye0	2018-10-31T04:31:05.000Z	1	86	http://instagram.com/p/BplYsd-HRWM/	seedlysg
Verified	seedlysg	2018-10-29T10:25:58.000Z	0	39	http://instagram.com/p/Bpg3t9RHP_C/	seedlysg
Verified	seedlysg	2018-10-11T12:26:56.000Z	8	108	http://instagram.com/p/BoyvQFYHlk4/	seedlysg
Verified	seedlysg	2018-10-11T12:26:56.000Z	8	108	http://instagram.com/p/BoyvQFYHlk4/	seedlysg
Please change your toothbrush @kukubirdlee	cherculez	2018-10-11T12:26:56.000Z	8	108	http://instagram.com/p/BoyvQFYHlk4/	seedlysg
@j.seed	junelseed	2018-10-11T12:26:56.000Z	8	108	http://instagram.com/p/BoyvQFYHlk4/	seedlysg
This is so cute!!!!	junelseed	2018-10-11T12:26:56.000Z	8	108	http://instagram.com/p/BoyvQFYHlk4/	seedlysg
Pillows expire?	starkiller_124	2018-10-11T12:26:56.000Z	8	108	http://instagram.com/p/BoyvQFYHlk4/	seedlysg
@i.am.win	lennnmeister	2018-10-11T12:26:56.000Z	8	108	http://instagram.com/p/BoyvQFYHlk4/	seedlysg
Verified	seedlysg	2018-09-14T18:42:40.000Z	2	57	http://instagram.com/p/Bnt4ydZHyDg/	seedlysg
Interesting!	shawnlqk	2018-09-14T18:42:40.000Z	2	57	http://instagram.com/p/Bnt4ydZHyDg/	seedlysg
Run Errands for Money Here! 🔥❤️Get Your Errands Done Here!	errand.run	2018-09-14T18:42:40.000Z	2	57	http://instagram.com/p/Bnt4ydZHyDg/	seedlysg
Verified	seedlysg	2018-09-14T04:50:03.000Z	2	61	http://instagram.com/p/BnsZgMbHa58/	seedlysg
