comment	commenter	date	num_comment	num_likes	url	username
 	 	2019-07-12T07:10:13.000Z	0	3	http://instagram.com/p/Bzzs0OnH16-/	mortgageconsultancy
Our Facebook page has received 5000 LIKES and the fan base is still growing! Thank you for your support and we shall continue to empower and value add our clients with the LATEST bank rates. https://www.facebook.com/consultmortgage/	mortgageconsultancy	2019-07-11T01:24:56.000Z	0	3	http://instagram.com/p/BzwggZ8n_ni/	mortgageconsultancy
 	 	2019-07-09T15:02:16.000Z	0	3	http://instagram.com/p/Bzs0c6UHOkG/	mortgageconsultancy
 	 	2019-07-04T02:13:08.000Z	0	2	http://instagram.com/p/BzekdVVnJ0D/	mortgageconsultancy
Lowest Home Loan Rates from 1.9%+!	mortgageconsultancy	2019-06-29T15:30:29.000Z	0	3	http://instagram.com/p/BzTHu19nu1V/	mortgageconsultancy
 	 	2019-06-28T16:08:24.000Z	0	2	http://instagram.com/p/BzQnRr4H006/	mortgageconsultancy
Today, in SME business talk, we shall talk about the basic criteria for SME Working Capital Loan Application.	mortgageconsultancy	2019-06-28T15:23:53.000Z	0	3	http://instagram.com/p/BzQiLmqnPse/	mortgageconsultancy
Bundled Deal for HDB Home Owners Only!	mortgageconsultancy	2019-06-23T09:30:34.000Z	0	5	http://instagram.com/p/BzDBxiKnpt9/	mortgageconsultancy
<PROMO CLOSING ON 30TH JUNE 2019!!>	mortgageconsultancy	2019-06-23T03:34:46.000Z	0	8	http://instagram.com/p/BzCZDj7nLX9/	mortgageconsultancy
 	 	2019-06-22T14:26:22.000Z	0	7	http://instagram.com/p/BzA-1LGn9tF/	mortgageconsultancy
 	 	2019-06-20T12:43:54.000Z	0	19	http://instagram.com/p/By7pg93H57b/	mortgageconsultancy
WOW!!	mortgageconsultancy	2019-06-18T17:06:44.000Z	0	5	http://instagram.com/p/By2-AKjnlIh/	mortgageconsultancy
 	 	2019-06-13T07:17:28.000Z	0	6	http://instagram.com/p/BypCl6QnLB4/	mortgageconsultancy
A good reminder for us to keep improving always.	mortgageconsultancy	2019-06-13T07:05:17.000Z	1	3	http://instagram.com/p/BypBMqOHEX_/	mortgageconsultancy
😅🙈	faith_to_god_no_matter_what	2019-06-13T07:05:17.000Z	1	3	http://instagram.com/p/BypBMqOHEX_/	mortgageconsultancy
LIVE LIFE TO THE FULLEST	mortgageconsultancy	2019-06-08T04:39:56.000Z	2	22	http://instagram.com/p/Byb4lrgHsFM/	mortgageconsultancy
Just had a look at your account 😺 and liked most of the photos especially recents ones 👏	jck_mortgage	2019-06-08T04:39:56.000Z	2	22	http://instagram.com/p/Byb4lrgHsFM/	mortgageconsultancy
😍😍😍	lightsnshowers	2019-06-08T04:39:56.000Z	2	22	http://instagram.com/p/Byb4lrgHsFM/	mortgageconsultancy
 	 	2019-06-08T02:37:01.000Z	0	7	http://instagram.com/p/BybqhcaHin6/	mortgageconsultancy
Lowest Home Loan From 2.05%!	mortgageconsultancy	2019-06-07T15:29:21.000Z	0	5	http://instagram.com/p/ByaeHYjnSyd/	mortgageconsultancy
A good reminder for everyone to take care of our health while chasing our wealth. TGIF!	mortgageconsultancy	2019-06-07T15:10:51.000Z	0	4	http://instagram.com/p/Byab_3MnhHC/	mortgageconsultancy
Lowest Home Loan From 2.05%!	mortgageconsultancy	2019-06-06T08:04:24.000Z	0	7	http://instagram.com/p/ByXGZhoHVvx/	mortgageconsultancy
 	 	2019-06-06T07:59:39.000Z	0	6	http://instagram.com/p/ByXF2y8ntu6/	mortgageconsultancy
Mortgage Consultancy team would like to wish all our Muslim friends a Selamat Hari Raya.	mortgageconsultancy	2019-06-05T06:09:38.000Z	0	9	http://instagram.com/p/ByUUeDJHISd/	mortgageconsultancy
Lowest Home Loan From 2.05%!	mortgageconsultancy	2019-06-04T10:44:21.000Z	1	4	http://instagram.com/p/BySPHQvnJ2-/	mortgageconsultancy
👍	webhostsg	2019-06-04T10:44:21.000Z	1	4	http://instagram.com/p/BySPHQvnJ2-/	mortgageconsultancy
Should I take up a HDB loan or bank loan?	mortgageconsultancy	2019-06-02T05:50:43.000Z	0	5	http://instagram.com/p/ByMj662H9Tl/	mortgageconsultancy
Should I take up a HDB loan or bank loan?	mortgageconsultancy	2019-06-02T05:31:51.000Z	0	4	http://instagram.com/p/ByMhwvkH7cr/	mortgageconsultancy
THIS POST IS FOR ALL HDB SELLERS & BUYERS!	mortgageconsultancy	2019-06-01T17:56:15.000Z	0	6	http://instagram.com/p/ByLSKDMnV_1/	mortgageconsultancy
Finding the Best Property Agent?	mortgageconsultancy	2019-06-01T16:37:39.000Z	0	5	http://instagram.com/p/ByLJKX3H4Bh/	mortgageconsultancy
Dear Property Sellers and Investors,	mortgageconsultancy	2019-06-01T16:32:05.000Z	0	4	http://instagram.com/p/ByLIhiOHyMo/	mortgageconsultancy
Dear SME Business Owners,	mortgageconsultancy	2019-05-31T02:10:01.000Z	1	6	http://instagram.com/p/ByHBEu7nJZj/	mortgageconsultancy
Fabulous 👀👍👋	olgafundsca	2019-05-31T02:10:01.000Z	1	6	http://instagram.com/p/ByHBEu7nJZj/	mortgageconsultancy
Dear SME Business Owners,	mortgageconsultancy	2019-05-27T15:06:18.000Z	1	9	http://instagram.com/p/Bx-Gu5Tn5ya/	mortgageconsultancy
👍	webhostsg	2019-05-27T15:06:18.000Z	1	9	http://instagram.com/p/Bx-Gu5Tn5ya/	mortgageconsultancy
Most Property Owners would NOT know this!	mortgageconsultancy	2019-05-26T13:49:01.000Z	0	9	http://instagram.com/p/Bx7ZF-PnSII/	mortgageconsultancy
For this limited period, we are giving a FREE indicative valuation and housing financial eligibility assessment from our 16 bank partners to all HDB/Condo/Landed property investors, sellers and buyers!	mortgageconsultancy	2019-05-25T09:30:12.000Z	0	10	http://instagram.com/p/Bx4WraJng-i/	mortgageconsultancy
Home owners looking to sell their property but unsure about how much to ask for their selling price?	mortgageconsultancy	2019-05-18T01:12:21.000Z	0	10	http://instagram.com/p/BxlcI-anATK/	mortgageconsultancy
Most Property Owners would NOT know this!	mortgageconsultancy	2019-05-18T01:00:16.000Z	0	9	http://instagram.com/p/BxlawgpncNg/	mortgageconsultancy
Happy Mother’s Day!	mortgageconsultancy	2019-05-12T03:20:13.000Z	0	11	http://instagram.com/p/BxWOAQfHCXK/	mortgageconsultancy
THIS POST IS FOR ALL HDB SELLERS & BUYERS!	mortgageconsultancy	2019-05-11T04:30:43.000Z	0	9	http://instagram.com/p/BxTxRsMnlju/	mortgageconsultancy
Dear Property Sellers and Buyers,	mortgageconsultancy	2019-04-21T14:47:20.000Z	0	16	http://instagram.com/p/BwhX8aMnKBU/	mortgageconsultancy
Dear SME Business Owners,	mortgageconsultancy	2019-04-21T14:45:02.000Z	0	10	http://instagram.com/p/BwhXrpJndWV/	mortgageconsultancy
WOW!!	mortgageconsultancy	2019-04-21T14:42:37.000Z	0	6	http://instagram.com/p/BwhXZ-qHhhT/	mortgageconsultancy
Lowest Home Loan From 2.05%	mortgageconsultancy	2019-04-21T14:40:43.000Z	0	8	http://instagram.com/p/BwhXMBTnh9w/	mortgageconsultancy
Happy Good Friday and have a lovely holiday ahead!	mortgageconsultancy	2019-04-19T06:09:51.000Z	0	7	http://instagram.com/p/BwbTIjNHtQ0/	mortgageconsultancy
For this limited period, we are giving a FREE indicative valuation and housing financial eligibility assessment from our 16 bank partners to all HDB/Condo/Landed property investors, sellers and buyers!	mortgageconsultancy	2019-04-10T16:28:03.000Z	3	19	http://instagram.com/p/BwFOr7BBEuu/	mortgageconsultancy
wow nice	asaduzzaman009	2019-04-10T16:28:03.000Z	3	19	http://instagram.com/p/BwFOr7BBEuu/	mortgageconsultancy
supper	asaduzzaman009	2019-04-10T16:28:03.000Z	3	19	http://instagram.com/p/BwFOr7BBEuu/	mortgageconsultancy
sir me Asaduzzaman	asaduzzaman009	2019-04-10T16:28:03.000Z	3	19	http://instagram.com/p/BwFOr7BBEuu/	mortgageconsultancy
 	 	2019-04-06T04:30:08.000Z	3	16	http://instagram.com/p/Bv5pY4ahPlC/	mortgageconsultancy
 	 	2019-04-06T04:30:08.000Z	3	16	http://instagram.com/p/Bv5pY4ahPlC/	mortgageconsultancy
 	 	2019-04-06T04:30:08.000Z	3	16	http://instagram.com/p/Bv5pY4ahPlC/	mortgageconsultancy
 	 	2019-04-06T04:30:08.000Z	3	16	http://instagram.com/p/Bv5pY4ahPlC/	mortgageconsultancy
Dear property owners,	mortgageconsultancy	2019-04-06T02:13:43.000Z	1	22	http://instagram.com/p/Bv5ZxrFBoTx/	mortgageconsultancy
supper	asaduzzaman009	2019-04-06T02:13:43.000Z	1	22	http://instagram.com/p/Bv5ZxrFBoTx/	mortgageconsultancy
This post is for fellow SME Business Owners.	mortgageconsultancy	2019-03-27T07:25:39.000Z	6	58	http://instagram.com/p/BvgNfvpBCAT/	mortgageconsultancy
👍	webhostsg	2019-03-27T07:25:39.000Z	6	58	http://instagram.com/p/BvgNfvpBCAT/	mortgageconsultancy
👋🙋‍♀️	babyhyperstore	2019-03-27T07:25:39.000Z	6	58	http://instagram.com/p/BvgNfvpBCAT/	mortgageconsultancy
Best! 😍	carpentersdesignsg	2019-03-27T07:25:39.000Z	6	58	http://instagram.com/p/BvgNfvpBCAT/	mortgageconsultancy
I love seeing posts like this!	jetsliketaxis	2019-03-27T07:25:39.000Z	6	58	http://instagram.com/p/BvgNfvpBCAT/	mortgageconsultancy
This is awesome! 👍✨	theia.object	2019-03-27T07:25:39.000Z	6	58	http://instagram.com/p/BvgNfvpBCAT/	mortgageconsultancy
💚💚💚	franc_and_eli	2019-03-27T07:25:39.000Z	6	58	http://instagram.com/p/BvgNfvpBCAT/	mortgageconsultancy
This post is for fellow SME Business Owners.	mortgageconsultancy	2019-03-27T05:26:48.000Z	1	38	http://instagram.com/p/Bvf_7EcHb0F/	mortgageconsultancy
Great!	victoria_xyhan	2019-03-27T05:26:48.000Z	1	38	http://instagram.com/p/Bvf_7EcHb0F/	mortgageconsultancy
This post is for fellow SME Business Owners.	mortgageconsultancy	2019-03-26T14:05:52.000Z	1	23	http://instagram.com/p/BveWiDyhwvA/	mortgageconsultancy
mortgageconsultancy 👍👍	dear.ber	2019-03-26T14:05:52.000Z	1	23	http://instagram.com/p/BveWiDyhwvA/	mortgageconsultancy
Lowest Home Loan From 2.05%!	mortgageconsultancy	2019-03-21T08:41:43.000Z	0	19	http://instagram.com/p/BvQ5bexBEoN/	mortgageconsultancy
Lowest Home Loan From 2.05%!	mortgageconsultancy	2019-03-15T07:25:33.000Z	0	18	http://instagram.com/p/BvBT7B3B47o/	mortgageconsultancy
THIS POST IS FOR PRIVATE HOME OWNERS WHO BOUGHT BEFORE YEAR 2015 & HDB OWNERS WHO BOUGHT BEFORE YEAR 2014.	mortgageconsultancy	2019-03-12T01:50:42.000Z	1	14	http://instagram.com/p/Bu4_RPFh7IU/	mortgageconsultancy
MANY PROPERTY SELLERS & INVESTORS HAVE BENEFITED FROM OUR CREATIVE FINANCING SHARING.	mortgageconsultancy	2019-03-08T08:40:31.000Z	0	18	http://instagram.com/p/Buva_U1BckM/	mortgageconsultancy
Why engage a mortgage broker? https://www.mortgageconsultancy.com.sg	mortgageconsultancy	2019-03-06T15:31:39.000Z	0	13	http://instagram.com/p/BurAXfLh9M6/	mortgageconsultancy
Earn a minimum of S$500.00 in COMMISSION for every 20 minute appointment!	mortgageconsultancy	2019-03-03T13:54:16.000Z	0	12	http://instagram.com/p/BujG5OuBwr3/	mortgageconsultancy
